ID_Ticket,Fecha,ID_Cliente,ID_Vendedor,ID_Producto,Cantidad,Total_Venta,Metodo_Pago,Hora
TKT-5761,2025-01-01,C010,V006,P006,2,33000,Tarjeta Crédito,11
TKT-7845,2025-01-01,C025,V006,P002,2,116000,Tarjeta Débito,20
TKT-6229,2025-01-01,C012,V006,P004,1,18500,Tarjeta Débito,17
TKT-6641,2025-01-01,C011,V006,P004,1,18500,Efectivo,14
TKT-5644,2025-01-01,C030,V005,P002,2,116000,Tarjeta Débito,8
TKT-7206,2025-01-02,C024,V004,P011,3,36000,Efectivo,8
TKT-5915,2025-01-02,C002,V004,P008,2,12000,Transferencia,6
TKT-6328,2025-01-02,C025,V004,P003,1,98000,Tarjeta Crédito,18
TKT-5546,2025-01-02,C029,V003,P006,2,33000,Transferencia,15
TKT-5948,2025-01-02,C024,V004,P005,2,30000,Efectivo,16
TKT-7674,2025-01-03,C016,V005,P012,2,16000,Efectivo,3
TKT-5515,2025-01-03,C023,V001,P003,2,196000,Tarjeta Débito,20
TKT-7691,2025-01-03,C005,V003,P003,2,196000,Transferencia,18
TKT-5036,2025-01-04,C020,V004,P007,2,27000,Tarjeta Débito,9
TKT-6105,2025-01-04,C015,V001,P008,1,6000,Transferencia,8
TKT-6572,2025-01-04,C025,V002,P004,1,18500,Tarjeta Débito,8
TKT-5339,2025-01-04,C002,V005,P003,2,196000,Efectivo,10
TKT-7409,2025-01-04,C002,V003,P005,1,15000,Efectivo,13
TKT-7127,2025-01-04,C003,V002,P012,5,40000,Efectivo,11
TKT-7717,2025-01-05,C014,V005,P005,2,30000,Tarjeta Crédito,10
TKT-7754,2025-01-05,C009,V003,P009,5,75000,Tarjeta Débito,15
TKT-6250,2025-01-05,C030,V005,P011,2,24000,Efectivo,8
TKT-7724,2025-01-05,C022,V006,P003,1,98000,Tarjeta Débito,10
TKT-5862,2025-01-06,C011,V001,P012,4,32000,Transferencia,10
TKT-7776,2025-01-06,C001,V006,P009,4,60000,Tarjeta Crédito,12
TKT-7471,2025-01-06,C015,V001,P002,1,58000,Tarjeta Crédito,17
TKT-5297,2025-01-06,C017,V005,P009,2,30000,Transferencia,8
TKT-7575,2025-01-06,C011,V002,P012,4,32000,Tarjeta Crédito,13
